IdEstacion;Nombre Estacion;Latitud;Longitud;Altura;Año;Mes;Dia;TMinima;TMaxima
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;2;15;22.2;26.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;2;16;21.0;26.5
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;2;17;21.0;25.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;2;18;20.1;25.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;2;19;20.8;25.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;2;20;21.5;26.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;2;21;19.8;25.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;2;22;19.5;26.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;2;23;19.5;26.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;2;24;19.5;25.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;2;25;18.0;25.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;2;26;19.1;25.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;2;27;19.0;26.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;2;28;19.0;26.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;2;29;19.3;26.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;3;1;21.1;26.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;3;2;21.7;26.6
